fighter_id,fighter_name,fighter_dob,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_wins,fighter_losses,fighter_draws,fighter_slpm,fighter_str_acc_%,fighter_sapm,fighter_str_def_%,fighter_td_avg,fighter_td_acc_%,fighter_td_def_%,fighter_sub_avg,fighter_url,median_knockdowns,median_sig_strike_atts,median_sig_strikes,median_tot_strike_atts,median_tot_strikes,median_takedown_atts,median_takedowns,median_clinch_atts,median_clinchs,median_ctrl_time,median_total_fight_time,median_submissions,median_reversals,median_head_strike_atts,median_head_strikes,median_body_strike_atts,median_body_strikes,median_leg_strike_atts,median_leg_strikes,median_dist_strike_atts,median_dist_strikes,median_ground_atts,median_grounds
377,Tim Boetsch,1981-01-28,182.88,185.0,187.96,Orthodox,21,13,0,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,http://www.ufcstats.com/fighter-details/c80095f6092271a7,0.0,62.5,27.5,80.5,42.0,2.0,1.0,9.5,5.5,113.5,511.5,0.0,0.0,43.5,14.5,6.5,5.5,4.0,2.5,36.0,13.5,2.0,2.0
378,Galore Bofando,1982-05-22,180.34,170.0,182.88,Switch,5,3,0,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0,http://www.ufcstats.com/fighter-details/8a56ea383fd26e52,0.5,25.5,11.5,25.5,11.5,0.5,0.5,1.5,0.0,1.5,190.0,0.0,0.0,22.0,9.5,2.0,1.0,1.5,1.0,14.0,5.5,11.5,6.0
379,Jay Bogan,,,145.0,,,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/53c21779d84ceb75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Roman Bogatov,1990-12-15,172.72,155.0,185.42,Orthodox,10,1,0,3.33,0.42,4.4,0.44,1.0,0.09,0.5,0.0,http://www.ufcstats.com/fighter-details/d61316139d68dbe3,0,117,50,155,81,11,1,12,6,367.0,900,0,1,82,24,29,20,6,6,96,37,14,7
381,Derek Bohi,,193.04,260.0,,,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/70a1c7626b5e0599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Jerry Bohlander,1974-02-12,180.34,199.0,,Orthodox,11,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/93892752c5fc23ca,0,6,3,10,7,1,1,2,1,,331,1,0,6,3,0,0,3,0,2,0,1,1
383,Mandy Bohm,1989-07-30,170.18,125.0,180.34,Orthodox,8,2,0,2.51,0.45,3.24,0.6,0.72,0.18,0.75,0.7,http://www.ufcstats.com/fighter-details/297a2b35444c245b,0,93,52,124,83,1,0,17,15,245.0,900,1,0,66,26,15,14,12,7,75,35,2,2
384,Kotetsu Boku,1977-05-27,175.26,154.0,,Orthodox,25,11,2,2.47,0.42,2.8,0.53,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d227958e8a0c1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Gaston Bolanos,1992-09-14,170.18,135.0,175.26,Orthodox,7,4,0,3.88,0.43,3.49,0.49,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/96924b0019b3aff1,0.0,104.0,45.5,108.5,48.5,0.0,0.0,3.0,0.0,50.0,704.5,0.0,0.5,69.5,23.0,14.0,7.0,20.5,15.5,87.0,35.5,17.0,10.0
386,Kyle Bolt,,187.96,185.0,,,8,4,0,7.27,0.52,7.27,0.45,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9d455d5cfe6a0e35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
